date,High,Low,Open,Close,Volume,Adj Close,level_0,index,id,conversation_id,created_at,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,_merge
2009-09-27,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,right_only
2009-10-20,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,right_only
2009-10-21,109.0,104.5,104.5,107.5,117172.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-10-22,109.5,107.0,107.5,108.0,17156.0,87.89607238769531,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-10-23,108.0,108.0,108.0,108.0,0.0,87.89607238769531,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-10-25,,,,108.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,right_only
2009-10-26,109.5,108.0,108.0,107.5,81673.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-10-27,109.44400024414062,106.0,108.5,107.5,29492.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-10-28,107.0,107.0,107.0,107.0,0.0,87.08222198486328,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-10-29,107.75,105.0,107.0,107.5,13456.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-10-30,108.3000030517578,105.0,107.5,107.5,16258.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-02,109.0,107.5,107.5,107.5,13000.0,87.4891586303711,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
2009-11-03,107.5,107.5,107.5,107.5,0.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-04,107.5,107.5,107.5,107.5,0.0,87.4891586303711,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
2009-11-05,107.5999984741211,107.5,107.5,107.5,371.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-06,107.5999984741211,107.5,107.5,107.5,1680.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-09,107.5999984741211,107.5,107.5,107.5,915.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-10,107.5,107.5,107.5,107.5,0.0,87.4891586303711,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-11,106.5,106.5,106.5,106.5,0.0,86.67530059814453,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-12,106.5,106.5,106.5,106.5,0.0,86.67530059814453,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-13,106.5,106.5,106.5,106.5,0.0,86.67530059814453,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-16,106.5,106.5,106.5,106.5,0.0,86.67530059814453,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-17,106.5,105.0,106.5,106.5,445.0,86.67530059814453,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-18,106.71499633789062,105.5999984741211,106.5,105.5,3250.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-19,105.63400268554688,101.0,105.5,105.5,1054629.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-20,105.5,101.0,105.5,105.5,950000.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-22,,,,105.5,,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,right_only
2009-11-23,105.5999984741211,103.0,105.5,105.5,1141.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-24,105.5,105.5,105.5,105.5,0.0,85.86145782470703,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,both
2009-11-25,105.5,105.5,105.5,105.5,0.0,85.86145782470703,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,both
2009-11-26,105.5,105.5,105.5,105.5,0.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-27,105.5,105.5,105.5,105.5,0.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-11-30,105.5,105.5,105.5,105.5,0.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-12-01,105.5999984741211,105.5,105.5,105.5,3519.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-12-02,105.5,105.5,105.5,105.5,0.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2009-12-03,105.5,105.5,105.5,105.5,0.0,85.86145782470703,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
